pCE1,1.953279
pCE2,0.898542
pCE3,2.077538
pCE4,1.497461
pCE5,1.889757
pCE6,1.194254
pCE7,2.30566
pCE8,0.680268
pCE9,1.500135
pCE10,0.277729
pCE11,1.71066
pCE12,0.683516
pCE13,1.822859
pCE14,0.901537
pCE15,1.877335
pCE16,0.642163
pCE17,2.164256
pCE18,0.621997
pCE19,1.853127
pCE20,0.537593
pCE21,1.611111
pCE22,0.178612
pCE23,1.648571
pCE24,0.780781
pCE25,1.507354
pCE26,0.201436
pCE27,0.864795
pCE28,0.254443
pCE29,1.1155
pCE30,0.878355
pCE31,1.279212
pCE32,0.719076
pCE33,0
pCE34,0
pCE35,0.956066
pCE36,0.511406
pCE37,0.175699
pCE38,0.047792
pCE39,0
pCE40,0
pCE41,1.700271
pCE42,0.708846
pCE43,2.525451
pCE44,0.746275
pCE45,0.5935
pCE46,0.107236
pCE47,1.084179
pCE48,0
pCE49,0.617728
pCE50,0.309116
pCE51,0.212949
pCE52,0
pCE53,0
pCE54,0
pCE55,0.541837
pCE56,0.210054
pCE57,0.088026
pCE58,0.254033
pCE59,0.073712
pCE60,0
pCE61,0.042098
pCE62,0
pCE63,0.276649
pCE64,0
pCE65,0.39539
pCE66,0
pCE67,0.595454
pCE68,0.502172
pCE69,0.636992
pCE70,0.312806
pCE71,0.291519
pCE72,0.241491
pCE73,0.93259
pCE74,0.435017
pCE75,0.522756
pCE76,0.238925
pCE77,0.469712
pCE78,0
pCE79,0.848831
pCE80,0
pCE81,0.461366
pCE82,0
pCE83,0.602054
pCE84,0.959361
pCE85,1.335118
pCE86,0.254745
pCE87,0.922486
pCE88,0.33894
pCE89,0.441687
pCE90,0
pCE91,0.577822
pCE92,0.255209
pCE93,0.10923
pCE94,0
pCE95,0.301862
pCE96,0
pCE97,0
pCE98,0
pCE99,0.541725
pCE100,0.187509
pCE101,0.666463
pCE102,0.277319
pCE103,0.669759
pCE104,0.474746
pCE105,0.960057
pCE106,0.484789
pCE107,1.231231
pCE108,0.530237
pCE109,0.941158
