Source,Target,Weight,Type
ZIG-1,ZIG-11,2.861346913998212,Undirected
ZIG-1,SWM-1,1.187436482244315,Undirected
ZIG-1,C34C6.3,1.6718242173884799,Undirected
ZIG-1,CRLD-1,1.2453057896415807,Undirected
ZIG-1,F14H12.3,3.698057149249342,Undirected
ZIG-1,F23H12.5,1.5259815270226285,Undirected
ZIG-1,WRK-1,1.1635524013121263,Undirected
ZIG-1,F58H1.6,1.9528146894740388,Undirected
ZIG-1,DSL-6,3.4398345766543277,Undirected
ZIG-1,SGCA-1,1.2376250129749102,Undirected
ZIG-1,EAT-20,1.9921599980092735,Undirected
ZIG-1,SBSP-1,1.2875103704663267,Undirected
ZIG-1,T25F10.3,1.0467539482012695,Undirected
ZIG-1,DSL-3,1.172351345732975,Undirected
ZIG-1,PAN-1,1.5808289406909437,Undirected
ZIG-1,LRON-10,1.5287085054519287,Undirected
ZIG-1,UNC-40,1.2338338503286337,Undirected
ZIG-1,FMI-1,2.291363714527622,Undirected
ZIG-1,IRLD-13,1.019728909754719,Undirected
ZIG-1,LAT-2,1.0039259315336622,Undirected
ZIG-1,ADT-1,1.4721233586667026,Undirected
ZIG-1,C09F9.2,1.807830483572331,Undirected
ZIG-1,C16B8.4,2.4852191917787243,Undirected
ZIG-1,C27B7.7a,5.808003420844945,Undirected
ZIG-1,IRLD-24,1.8600577886009835,Undirected
ZIG-1,RIG-6,1.3392347034478367,Undirected
ZIG-1,C49C3.4a,1.970300936464431,Undirected
ZIG-1,FSHR-1,1.9393969602260348,Undirected
ZIG-1,LRON-15,1.0974168332935847,Undirected
ZIG-1,LRLP-1,1.8476687202331583,Undirected
ZIG-1,IRLD-31,1.2012816022555952,Undirected
ZIG-1,IRLD-7,1.8879276690655995,Undirected
ZIG-1,DEP-1,1.5234774587286202,Undirected
ZIG-1,IRLD-33,3.663048546255389,Undirected
ZIG-1,F46G10.2,1.6408428442186924,Undirected
ZIG-1,IRLD-44,1.3114942767718665,Undirected
ZIG-1,IRLD-47,1.0034101190321458,Undirected
ZIG-1,T06E4.5,2.09455779100393,Undirected
ZIG-1,IRLD-49,1.3757461005506455,Undirected
ZIG-1,VC5.2,2.928388000498573,Undirected
ZIG-1,ITX-1,1.0630936613851885,Undirected
ZIG-1,IRLD-15,4.621507945093656,Undirected
ZIG-1,Y37E11AR.7,2.5432759634343993,Undirected
ZIG-1,Y8A9A.2,1.5406209319155468,Undirected
ZIG-1,FIG-1,2.7381485870345417,Undirected
ZIG-1,CDH-3,1.551221705557012,Undirected
ZIG-1,C29F3.7a,1.0425590891945395,Undirected
ZIG-1,SMP-2,2.0526327263552386,Undirected
ZIG-1,F10A3.4,2.5378061486339645,Undirected
ZIG-1,IRLD-38,1.317132726687,Undirected
ZIG-1,PLX-2,2.2122310386862476,Undirected
ZIG-1,VAB-2,1.0876466601228543,Undirected
ZIG-1,LEV-10,1.601886252960164,Undirected
ZIG-2,F11C7.6a,1.9601809869270241,Undirected
ZIG-2,F14H12.3,5.1542433368330896,Undirected
ZIG-2,F21A3.3,1.066287233728909,Undirected
ZIG-2,WRK-1,7.264699321080498,Undirected
ZIG-2,DSL-5,1.4727050959425074,Undirected
ZIG-2,SDZ-23,2.8425889180734396,Undirected
ZIG-2,EAT-20,1.8233057414418716,Undirected
ZIG-2,LRON-9,1.493567406669766,Undirected
ZIG-2,SCL-10,1.1314226889584384,Undirected
ZIG-2,IGDB-2,5.116711130266004,Undirected
ZIG-2,C27B7.7a,3.750536552276434,Undirected
ZIG-2,IRLD-24,1.1924174564842085,Undirected
ZIG-2,RIG-6,3.3681878624652315,Undirected
ZIG-2,FSHR-1,1.9373846635254808,Undirected
ZIG-2,C53A5.13a,1.8550088939258271,Undirected
ZIG-2,LAM-2,1.72770486574377,Undirected
ZIG-2,LRON-15,1.3362492582406038,Undirected
ZIG-2,DEX-1,3.9522292810076074,Undirected
ZIG-2,IRLD-1,10.649950939444764,Undirected
ZIG-2,CDH-5,1.019020201508402,Undirected
ZIG-2,IGEG-1,1.065748267518721,Undirected
ZIG-2,ATRN-1,1.1095590323551447,Undirected
ZIG-2,DEP-1,1.315825304880714,Undirected
ZIG-2,IRLD-12,3.560845331775179,Undirected
ZIG-2,IRLD-13-1,1.1714486313963948,Undirected
ZIG-2,IRLD-13-2,1.088016044372779,Undirected
ZIG-2,IGCM-3,1.9426947148742657,Undirected
ZIG-2,Y37E11AR.7,3.2191596535703058,Undirected
ZIG-2,Y69H2.3b,1.8451404940744542,Undirected
ZIG-2,Y70G10A.2,1.0197741278229366,Undirected
ZIG-2,CHTS-1,1.9313715971850025,Undirected
ZIG-2,FIG-1,7.359247792359139,Undirected
ZIG-2,CDH-1,1.7419318870588303,Undirected
ZIG-2,MEC-1,1.409205107277201,Undirected
ZIG-2,LAM-3,2.1431056311935213,Undirected
ZIG-2,LAM-1,1.4707294379325502,Undirected
ZIG-2,RIG-4,2.550471372074068,Undirected
ZIG-2,Y64G10A.7b,1.7395732393507715,Undirected
ZIG-2,CDH-3,2.5985965214932722,Undirected
ZIG-2,FBN-1,1.0276333696634088,Undirected
ZIG-2,IRLD-14,2.5694539641767316,Undirected
ZIG-2,SVH-2,2.268771939289999,Undirected
ZIG-2,BAM-2,1.1651532455047224,Undirected
ZIG-2,LRON-13,2.775864029335841,Undirected
ZIG-2,DAF-28,76.86762584383773,Undirected
ZIG-2,INS-6,173.45053237726498,Undirected
ZIG-3,ZIG-3,23.13308753001193,Undirected
ZIG-3,ZIG-4,15.492587820719873,Undirected
ZIG-3,ZIG-5,1.0742116869686955,Undirected
ZIG-3,IGEG-2,1.9114535935005983,Undirected
ZIG-3,INS-1,5.217638197256603,Undirected
ZIG-3,OIG-1,13.825083784540848,Undirected
ZIG-3,C23H4.8,9.521669147011604,Undirected
ZIG-3,IGDB-2,8.083749821746002,Undirected
ZIG-3,MIG-21,1.2955453306853948,Undirected
ZIG-3,IRLD-28,2.4479229291142848,Undirected
ZIG-3,CDH-8,2.5543222522547397,Undirected
ZIG-3,F21A3.11,6.478679627700648,Undirected
ZIG-3,LRON-7,5.472046251793396,Undirected
ZIG-3,SAX-3,2.567964695908176,Undirected
ZIG-3,ZK512.1,10.928736897815256,Undirected
ZIG-3,PXN-1,2.2448905595317012,Undirected
ZIG-3,CLEC-57,1.347524567757231,Undirected
ZIG-4,ZIG-3,15.492587820719873,Undirected
ZIG-4,ZIG-4,4.331228562713252,Undirected
ZIG-4,F40A3.2,6.534265416319642,Undirected
ZIG-4,SDZ-23,1.8406657557431272,Undirected
ZIG-4,VER-3,1.0582327032681724,Undirected
ZIG-4,DSL-6,3.3127384233638035,Undirected
ZIG-4,EAT-20,2.4304404461040643,Undirected
ZIG-4,PXN-2,1.024353077055549,Undirected
ZIG-4,M03F4.6,1.968116558805228,Undirected
ZIG-4,T01D3.6a,1.154070031583334,Undirected
ZIG-4,T25F10.3,2.516398821258857,Undirected
ZIG-4,LRON-14,1.854260376946705,Undirected
ZIG-4,IRLD-22,1.0283433367437138,Undirected
ZIG-4,IRLD-25,1.516038747548315,Undirected
ZIG-4,IRLD-3,4.063744923161111,Undirected
ZIG-4,INS-1,4.499193677473952,Undirected
ZIG-4,FMI-1,1.415720161467953,Undirected
ZIG-4,B0416.2,1.7262569215172003,Undirected
ZIG-4,C05D12.2,4.59258699594467,Undirected
ZIG-4,IRLD-13,1.568391770050278,Undirected
ZIG-4,CASY-1,1.7488663380152378,Undirected
ZIG-4,ADT-1,1.4679656519382445,Undirected
ZIG-4,C09F9.2,1.8685997881085594,Undirected
ZIG-4,C16B8.4,6.277043169678543,Undirected
ZIG-4,C18E9.7,1.3363651680578037,Undirected
ZIG-4,IGDB-2,23.384741260716364,Undirected
ZIG-4,C27B7.7a,2.792001594214872,Undirected
ZIG-4,IRLD-24,1.3499090000924128,Undirected
ZIG-4,FSHR-1,1.1654570808064368,Undirected
ZIG-4,LRON-15,1.9642034059290738,Undirected
ZIG-4,IRLD-1,1.6902222405917142,Undirected
ZIG-4,IRLD-31,1.3081944123482299,Undirected
ZIG-4,DSL-4,1.5349491291084885,Undirected
ZIG-4,F18A1.1,1.558374568646345,Undirected
ZIG-4,NLR-1,2.153547753117075,Undirected
ZIG-4,IRLD-8,1.2447486826244565,Undirected
ZIG-4,CDH-9,1.5537218076661934,Undirected
ZIG-4,NAS-17,1.7299437134284636,Undirected
ZIG-4,RIG-1,1.0203686448423173,Undirected
ZIG-4,IRLD-47,1.6362767370401126,Undirected
ZIG-4,T06E4.5,1.4440872221206362,Undirected
ZIG-4,IRLD-49,1.7476727220975443,Undirected
ZIG-4,SMA-10,1.3497230552647168,Undirected
ZIG-4,ITX-1,1.0996762549304924,Undirected
ZIG-4,IRLD-15,1.017280393648985,Undirected
ZIG-4,Y37E11AR.7,2.185441787414096,Undirected
ZIG-4,Y46G5A.29,9.192919747683042,Undirected
ZIG-4,FIG-1,3.1571707330224967,Undirected
ZIG-4,MUP-4,1.1790655842664168,Undirected
ZIG-4,CDH-3,1.1097628921721319,Undirected
ZIG-4,NRX-1,1.5763123947184035,Undirected
ZIG-4,CLEC-57,1.6853650878434236,Undirected
ZIG-4,NETO-1,14.96698654994811,Undirected
ZIG-4,INS-18,1.0971355480797234,Undirected
ZIG-4,PVF-1,2.4953193462341896,Undirected
ZIG-4,MAB-20,152.5688794227299,Undirected
ZIG-4,LRON-13,1.0148199286989124,Undirected
ZIG-4,LEV-10,3.4099715912624036,Undirected
ZIG-4,DAF-28,164.83670868726952,Undirected
ZIG-4,INS-6,436.82341556973086,Undirected
ZIG-5,ZIG-3,1.0742116869686955,Undirected
ZIG-5,ZIG-5,1.2172150080476223,Undirected
ZIG-5,ZIG-11,1.5719750601125602,Undirected
ZIG-5,F14H12.3,1.1016742823988155,Undirected
ZIG-5,KAL-1,1.37896871315488,Undirected
ZIG-5,SBSP-1,2.4763840568584876,Undirected
ZIG-5,T01D3.6a,2.698233697428159,Undirected
ZIG-5,DGN-1,1.2822614008111148,Undirected
ZIG-5,Y73E7A.8,2.181700789280942,Undirected
ZIG-5,ZK1193.2,1.9524334207130343,Undirected
ZIG-5,IRLD-22,1.4646196504122957,Undirected
ZIG-5,IRLD-25,1.6042298582902095,Undirected
ZIG-5,IRLD-26,1.8044539118736809,Undirected
ZIG-5,INS-1,75.08376509715787,Undirected
