Source,Target,Weight,Type
['ZIG-1'],['ZIG-11'],0.963679999999999,Undirected
['ZIG-1'],['SWM-1'],0.875099999999999,Undirected
['ZIG-1'],['C34C6.3'],0.5762,Undirected
['ZIG-1'],['CRLD-1'],0.88202,Undirected
['ZIG-1'],['F14H12.3'],0.752229999999999,Undirected
['ZIG-1'],['WRK-1'],0.529919999999999,Undirected
['ZIG-1'],['F58H1.6'],0.64624,Undirected
['ZIG-1'],['SGCA-1'],0.78995,Undirected
['ZIG-1'],['SBSP-1'],0.748709999999999,Undirected
['ZIG-1'],['PAN-1'],0.689239999999999,Undirected
['ZIG-1'],['Y53H1B.2'],0.720779999999999,Undirected
['ZIG-1'],['FMI-1'],0.634639999999999,Undirected
['ZIG-1'],['C09F9.2'],0.513739999999999,Undirected
['ZIG-1'],['C16B8.4'],0.62421,Undirected
['ZIG-1'],['C23H4.8'],0.546849999999999,Undirected
['ZIG-1'],['C27B7.7a'],1.55566,Undirected
['ZIG-1'],['IRLD-24'],0.719799999999999,Undirected
['ZIG-1'],['RIG-6'],0.660989999999999,Undirected
['ZIG-1'],['C36B7.5b'],0.59308,Undirected
['ZIG-1'],['C46F4.3'],0.581339999999999,Undirected
['ZIG-1'],['C49C3.4a'],0.66854,Undirected
['ZIG-1'],['LRLP-1'],0.529279999999999,Undirected
['ZIG-1'],['IRLD-30'],0.70132,Undirected
['ZIG-1'],['F21A3.11'],0.637689999999999,Undirected
['ZIG-1'],['F22D3.4  '],0.518719999999999,Undirected
['ZIG-1'],['F22D6.15  '],1.81269999999999,Undirected
['ZIG-1'],['SPE-45'],0.69457,Undirected
['ZIG-1'],['IRLD-7'],0.574649999999999,Undirected
['ZIG-1'],['IRLD-33'],0.847929999999999,Undirected
['ZIG-1'],['IRLD-9'],0.559899999999999,Undirected
['ZIG-1'],['F46G10.2'],0.66234,Undirected
['ZIG-1'],['F53C11.9'],0.617519999999999,Undirected
['ZIG-1'],['IRLD-43'],0.626619999999999,Undirected
['ZIG-1'],['IRLD-44'],0.7335,Undirected
['ZIG-1'],['T06E4.5  '],0.505879999999999,Undirected
['ZIG-1'],['VC5.2'],0.803139999999999,Undirected
['ZIG-1'],['IRLD-15'],1.32085,Undirected
['ZIG-1'],['Y37E11AR.7  '],0.71745,Undirected
['ZIG-1'],['EGAS-2'],0.538429999999999,Undirected
['ZIG-1'],['IGLR-2'],0.766469999999999,Undirected
['ZIG-1'],['IRG-7'],1.26377999999999,Undirected
['ZIG-1'],['FIG-1'],1.14168,Undirected
['ZIG-1'],['F55H12.3'],0.5491,Undirected
['ZIG-1'],['T01D3.1b'],0.79966,Undirected
['ZIG-1'],['RIG-4'],0.505059999999999,Undirected
['ZIG-1'],['Y64G10A.7b'],0.53715,Undirected
['ZIG-1'],['CDH-3'],0.530619999999999,Undirected
['ZIG-1'],['C29F3.7a'],0.65944,Undirected
['ZIG-1'],['F10A3.4'],0.71665,Undirected
['ZIG-1'],['PLX-2'],0.615149999999999,Undirected
['ZIG-1'],['INS-18'],1.93314999999999,Undirected
['ZIG-1'],['LEV-10'],1.27194,Undirected
['ZIG-2'],['ZIG-9'],0.614049999999999,Undirected
['ZIG-2'],['CRLD-1'],0.65746,Undirected
['ZIG-2'],['F11C7.2'],0.696509999999999,Undirected
['ZIG-2'],['F14H12.3'],0.847069999999999,Undirected
['ZIG-2'],['WRK-1'],1.13022,Undirected
['ZIG-2'],['IGDB-2'],3.38269,Undirected
['ZIG-2'],['C27B7.7a'],1.34407999999999,Undirected
['ZIG-2'],['RIG-6'],0.96791,Undirected
['ZIG-2'],['IRLD-1'],3.58851999999999,Undirected
['ZIG-2'],['IRLD-12'],0.748539999999999,Undirected
['ZIG-2'],['IRLD-13-1'],0.907909999999999,Undirected
['ZIG-2'],['IGCM-3'],1.24441,Undirected
['ZIG-2'],['Y37E11AR.7  '],0.657429999999999,Undirected
['ZIG-2'],['IRG-7'],0.807479999999999,Undirected
['ZIG-2'],['CHTS-1'],1.40691,Undirected
['ZIG-2'],['FIG-1'],1.86331,Undirected
['ZIG-2'],['F55H12.3'],0.741929999999999,Undirected
['ZIG-2'],['MUP-4'],0.810779999999999,Undirected
['ZIG-2'],['RIG-4'],1.04198999999999,Undirected
['ZIG-2'],['CDH-3'],0.793869999999999,Undirected
['ZIG-2'],['SOL-2'],0.776179999999999,Undirected
['ZIG-2'],['SVH-2'],0.630659999999999,Undirected
['ZIG-2'],['Y95B8A.6c'],3.72079,Undirected
['ZIG-2'],['DAF-28'],35.0589299999999,Undirected
['ZIG-2'],['INS-6'],61.4979999999999,Undirected
['ZIG-3'],['ZIG-3'],6.14796999999999,Undirected
['ZIG-3'],['ZIG-4'],3.06931,Undirected
['ZIG-3'],['ZIG-5'],0.66634,Undirected
['ZIG-3'],['IGEG-2'],1.60501,Undirected
['ZIG-3'],['KAL-1'],2.12104999999999,Undirected
['ZIG-3'],['OIG-2'],1.17435,Undirected
['ZIG-3'],['INS-1'],1.95828,Undirected
['ZIG-3'],['SLT-1N'],3.14399,Undirected
['ZIG-3'],['SLT-1C'],0.550649999999999,Undirected
['ZIG-3'],['LECT-2'],0.96203,Undirected
['ZIG-3'],['CAM-1'],0.88917,Undirected
['ZIG-3'],['C02B10.3'],0.58128,Undirected
['ZIG-3'],['OIG-1'],5.36219,Undirected
['ZIG-3'],['C23H4.8'],4.8639,Undirected
