Source,Target,Weight,Type
ZIG-1,ZIG-11,2.861346913998212,Undirected
ZIG-1,F14H12.3,3.698057149249342,Undirected
ZIG-1,DSL-6,3.4398345766543277,Undirected
ZIG-1,FMI-1,2.291363714527622,Undirected
ZIG-1,C16B8.4,2.4852191917787243,Undirected
ZIG-1,C27B7.7a,5.808003420844945,Undirected
ZIG-1,IRLD-33,3.663048546255389,Undirected
ZIG-1,T06E4.5,2.09455779100393,Undirected
ZIG-1,VC5.2,2.928388000498573,Undirected
ZIG-1,IRLD-15,4.621507945093656,Undirected
ZIG-1,Y37E11AR.7,2.5432759634343993,Undirected
ZIG-1,FIG-1,2.7381485870345417,Undirected
ZIG-1,SMP-2,2.0526327263552386,Undirected
ZIG-1,F10A3.4,2.5378061486339645,Undirected
ZIG-1,PLX-2,2.2122310386862476,Undirected
ZIG-2,F14H12.3,5.1542433368330896,Undirected
ZIG-2,WRK-1,7.264699321080498,Undirected
ZIG-2,SDZ-23,2.8425889180734396,Undirected
ZIG-2,IGDB-2,5.116711130266004,Undirected
ZIG-2,C27B7.7a,3.750536552276434,Undirected
ZIG-2,RIG-6,3.3681878624652315,Undirected
ZIG-2,DEX-1,3.9522292810076074,Undirected
ZIG-2,IRLD-1,10.649950939444764,Undirected
ZIG-2,IRLD-12,3.560845331775179,Undirected
ZIG-2,Y37E11AR.7,3.2191596535703058,Undirected
ZIG-2,FIG-1,7.359247792359139,Undirected
ZIG-2,LAM-3,2.1431056311935213,Undirected
ZIG-2,RIG-4,2.550471372074068,Undirected
ZIG-2,CDH-3,2.5985965214932722,Undirected
ZIG-2,IRLD-14,2.5694539641767316,Undirected
ZIG-2,SVH-2,2.268771939289999,Undirected
ZIG-2,LRON-13,2.775864029335841,Undirected
ZIG-2,DAF-28,76.86762584383773,Undirected
ZIG-2,INS-6,173.45053237726498,Undirected
ZIG-3,ZIG-3,23.13308753001193,Undirected
ZIG-3,ZIG-4,15.492587820719873,Undirected
ZIG-3,INS-1,5.217638197256603,Undirected
ZIG-3,OIG-1,13.825083784540848,Undirected
ZIG-3,C23H4.8,9.521669147011604,Undirected
ZIG-3,IGDB-2,8.083749821746002,Undirected
ZIG-3,IRLD-28,2.4479229291142848,Undirected
ZIG-3,CDH-8,2.5543222522547397,Undirected
ZIG-3,F21A3.11,6.478679627700648,Undirected
ZIG-3,LRON-7,5.472046251793396,Undirected
ZIG-3,SAX-3,2.567964695908176,Undirected
ZIG-3,ZK512.1,10.928736897815256,Undirected
ZIG-3,PXN-1,2.2448905595317012,Undirected
ZIG-4,ZIG-3,15.492587820719873,Undirected
ZIG-4,ZIG-4,4.331228562713252,Undirected
ZIG-4,F40A3.2,6.534265416319642,Undirected
ZIG-4,DSL-6,3.3127384233638035,Undirected
ZIG-4,EAT-20,2.4304404461040643,Undirected
ZIG-4,T25F10.3,2.516398821258857,Undirected
ZIG-4,IRLD-3,4.063744923161111,Undirected
ZIG-4,INS-1,4.499193677473952,Undirected
ZIG-4,C05D12.2,4.59258699594467,Undirected
ZIG-4,C16B8.4,6.277043169678543,Undirected
ZIG-4,IGDB-2,23.384741260716364,Undirected
ZIG-4,C27B7.7a,2.792001594214872,Undirected
ZIG-4,NLR-1,2.153547753117075,Undirected
ZIG-4,Y37E11AR.7,2.185441787414096,Undirected
ZIG-4,Y46G5A.29,9.192919747683042,Undirected
ZIG-4,FIG-1,3.1571707330224967,Undirected
ZIG-4,NETO-1,14.96698654994811,Undirected
ZIG-4,PVF-1,2.4953193462341896,Undirected
ZIG-4,MAB-20,152.5688794227299,Undirected
ZIG-4,LEV-10,3.4099715912624036,Undirected
ZIG-4,DAF-28,164.83670868726952,Undirected
ZIG-4,INS-6,436.82341556973086,Undirected
ZIG-5,SBSP-1,2.4763840568584876,Undirected
ZIG-5,T01D3.6a,2.698233697428159,Undirected
ZIG-5,Y73E7A.8,2.181700789280942,Undirected
ZIG-5,INS-1,75.08376509715787,Undirected
ZIG-5,UNC-6,2.786023555621409,Undirected
ZIG-5,IRLD-13,2.48428363229438,Undirected
ZIG-5,IRLD-21,2.2225665698775914,Undirected
ZIG-5,IGDB-2,45.254132477239615,Undirected
ZIG-5,CDH-8,2.019670828283253,Undirected
ZIG-5,F28C1.3a,2.7768337112386385,Undirected
ZIG-5,AGR-1,2.598350071155102,Undirected
ZIG-5,IRLD-49,2.754702908203109,Undirected
ZIG-5,RME-2,3.194260713676013,Undirected
ZIG-5,Y19D10B.8,2.1130041585134354,Undirected
ZIG-5,ZC374.2,75.06673396566677,Undirected
ZIG-5,T02C5.1a,2.6705199701710063,Undirected
ZIG-6,ZIG-6,4.5300770661642344,Undirected
ZIG-6,F35D2.3,2.798498807209793,Undirected
ZIG-6,C27B7.7a,3.0878659247460893,Undirected
ZIG-6,RIG-6,2.839642572168784,Undirected
ZIG-6,MIG-6,610.5871188186484,Undirected
ZIG-6,ATRN-1,2.090775903704893,Undirected
ZIG-6,IRLD-12,2.3274247746518357,Undirected
ZIG-6,IRLD-13-1,4.056143701865959,Undirected
ZIG-6,CHTB-3,3.1146626750189768,Undirected
ZIG-6,RME-2,185.92122986363893,Undirected
ZIG-6,T13C2.6b,163.7508026849168,Undirected
ZIG-6,Y37E11AR.7,2.5291453938055777,Undirected
ZIG-6,FIG-1,2.9781605085391205,Undirected
ZIG-6,RIG-4,3.621035111222707,Undirected
ZIG-7,ZIG-7,2.346767265774749,Undirected
ZIG-7,DSL-6,2.4379594539926943,Undirected
ZIG-7,EAT-20,2.170644743466386,Undirected
ZIG-7,DSL-1,2.7273931606942567,Undirected
ZIG-7,LAG-2,3.063971698179886,Undirected
ZIG-7,IRLD-3,2.8474121559613983,Undirected
ZIG-7,B0416.2,2.014528384543997,Undirected
ZIG-7,C16B8.4,2.9812599249669542,Undirected
ZIG-7,NAS-37,2.009525852756573,Undirected
ZIG-7,IGDB-2,4.058506003797073,Undirected
ZIG-7,C27B7.7a,4.263518879230554,Undirected
ZIG-7,IRLD-24,2.002819111286601,Undirected
ZIG-7,ZK856.6,2.326422777834276,Undirected
ZIG-7,LRLP-1,10.952143987082442,Undirected
ZIG-7,DSL-4,3.275876259815687,Undirected
ZIG-7,F40F11.4,2.2406611162793113,Undirected
ZIG-7,F46G10.2,2.2810422797345256,Undirected
ZIG-7,IRLD-44,2.180447719861305,Undirected
ZIG-7,IRLD-47,2.7546018626275774,Undirected
ZIG-7,T06E4.5,2.568099466596094,Undirected
ZIG-7,IRLD-49,2.062961710497265,Undirected
ZIG-7,Y8A9A.2,2.1393248436797627,Undirected
ZIG-7,F28B4.3,2.5316842896475604,Undirected
ZIG-7,FIG-1,2.350843752672663,Undirected
ZIG-7,T01D3.1b,2.0337802624204926,Undirected
ZIG-7,C29F3.7a,2.897254678173767,Undirected
ZIG-7,CLEC-57,2.3339104438115914,Undirected
ZIG-7,DGN-2,2.0610159608227785,Undirected
ZIG-7,FLR-2,3.007418235235615,Undirected
ZIG-8,ZIG-8,85.77933871933061,Undirected
ZIG-8,C34C6.3,163.6142666477224,Undirected
ZIG-8,CRLD-1,2.007498728983235,Undirected
ZIG-8,F14H12.3,3.804310850852574,Undirected
ZIG-8,F35D2.3,2.266995951145563,Undirected
ZIG-8,DSL-5,2.9426110524001343,Undirected
ZIG-8,SDZ-23,2.40210286086919,Undirected
ZIG-8,F58H1.6,4.096165798781297,Undirected
ZIG-8,VER-3,2.4281091885152053,Undirected
ZIG-8,EAT-20,5.765261490210079,Undirected
ZIG-8,C27B7.7a,5.195506038077974,Undirected
ZIG-8,RIG-6,3.5631149295872384,Undirected
ZIG-8,RIG-5,353.6504931293894,Undirected
ZIG-8,LET-4,7.600089043963831,Undirected
ZIG-8,FSHR-1,2.424092348232294,Undirected
ZIG-8,DEX-1,2.336719084745331,Undirected
ZIG-8,IGEG-1,2.70471960076021,Undirected
ZIG-8,CDH-9,4.005577293423514,Undirected
ZIG-8,IRLD-44,2.2374488635439596,Undirected
ZIG-8,FIG-1,3.3202530873028175,Undirected
ZIG-8,LAM-1,2.880540588282696,Undirected
ZIG-8,Y64G10A.7b,2.618092948963038,Undirected
ZIG-8,SVH-2,3.5852291097449474,Undirected
ZIG-9,ZIG-9,140.55600431266467,Undirected
ZIG-9,IGLR-1,2.1021445285039055,Undirected
ZIG-9,LECT-2,30.171490092396414,Undirected
ZIG-9,C27A7.9,4.180933960771013,Undirected
ZIG-9,C27B7.7a,4.772534791669162,Undirected
ZIG-9,IRLD-24,4.317304848699613,Undirected
ZIG-9,RIG-6,2.229169613332098,Undirected
ZIG-9,GLP-1,3.139798680660204,Undirected
ZIG-9,NID-1,2.5898408730310747,Undirected
ZIG-9,H42K12.3,871.4930653349293,Undirected
ZIG-9,EGG-6,2.396976600153819,Undirected
ZIG-9,IRLD-46,2.2526057068075946,Undirected
ZIG-9,VAB-1,2.1768563800461194,Undirected
ZIG-9,IRLD-13-1,2.66732816156025,Undirected
ZIG-9,FMIL-1,4.143704179009976,Undirected
ZIG-9,MAB-7,3.8499060792272557,Undirected
ZIG-9,IRG-7,2.2222708528581867,Undirected
ZIG-9,FIG-1,3.558407196181782,Undirected
ZIG-9,ILC-17.1,3.8185715503262507,Undirected
ZIG-10,F14H12.3,4.645400348939047,Undirected
ZIG-10,IGLR-1,2.4157438482332205,Undirected
ZIG-10,DGN-1,23.48174197037977,Undirected
ZIG-10,UNC-40,2.1250890085148813,Undirected
ZIG-10,FMI-1,2.483479983730748,Undirected
ZIG-10,TOL-1,6.1012533595141205,Undirected
ZIG-10,C27B7.7a,4.150708547046918,Undirected
ZIG-10,RIG-6,3.68505313737624,Undirected
ZIG-10,FSHR-1,2.303203306861126,Undirected
ZIG-10,DEX-1,2.1800590698909645,Undirected
ZIG-10,SPE-45,2.9509158557281228,Undirected
ZIG-10,LIN-3,2.142165645371977,Undirected
ZIG-10,IRLD-7,2.3425341236387824,Undirected
ZIG-10,DEP-1,3.8103430760671366,Undirected
ZIG-10,FBL-1,4.879122513352686,Undirected
ZIG-10,CDH-9,3.1190088183189664,Undirected
ZIG-10,IRLD-12,3.017914934729771,Undirected
ZIG-10,IRLD-13-2,2.0763148959855466,Undirected
ZIG-10,CHTS-1,2.39946187751107,Undirected
ZIG-10,FIG-1,3.6682426446161673,Undirected
ZIG-10,RIG-4,3.5320996591112226,Undirected
